Time,HHMMSS,.075mm,.125mm,.175mm,.225mm,.275mm,.325mm,.375mm,.4375mm,.5125mm,.5875mm,.6625mm,.75mm,.85mm,.95mm,1.1mm,1.3mm,1.5mm,1.7mm,1.9mm
28305.16,75145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28306.16,75146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28307.16,75147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28308.16,75148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28309.16,75149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28310.16,75150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28311.16,75151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28312.16,75152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28313.16,75153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28314.16,75154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28315.16,75155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28316.16,75156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28317.16,75157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28318.16,75158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28319.16,75159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28320.16,75200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28321.16,75201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28322.16,75202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28323.16,75203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28324.16,75204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28325.16,75205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28326.16,75206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28327.16,75207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28328.16,75208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28329.16,75209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28330.16,75210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28331.16,75211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28332.16,75212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28333.16,75213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28334.16,75214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28335.16,75215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28336.16,75216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28337.16,75217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28338.16,75218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28339.16,75219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28340.16,75220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28341.16,75221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28342.16,75222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28343.16,75223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28344.16,75224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28345.16,75225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28346.16,75226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28347.16,75227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28348.16,75228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28349.16,75229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28350.16,75230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28351.16,75231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28352.16,75232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28353.16,75233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28354.16,75234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28355.16,75235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28356.16,75236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28357.16,75237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28358.16,75238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28359.16,75239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28360.16,75240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28361.16,75241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28362.16,75242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28363.16,75243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28364.16,75244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28365.16,75245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28366.16,75246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28367.16,75247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28368.16,75248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28369.16,75249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28370.16,75250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28371.16,75251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28372.16,75252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28373.16,75253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28374.16,75254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28375.16,75255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28376.16,75256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28377.16,75257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28378.16,75258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28379.16,75259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28380.16,75300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28381.16,75301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28382.16,75302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28383.16,75303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28384.16,75304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28385.16,75305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28386.16,75306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28387.16,75307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28388.16,75308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28389.16,75309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28390.16,75310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28391.16,75311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28392.16,75312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28393.16,75313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28394.16,75314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28395.16,75315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28396.16,75316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28397.16,75317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28398.16,75318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28399.16,75319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28400.16,75320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28401.16,75321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28402.16,75322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28403.16,75323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28404.16,75324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28405.16,75325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28406.16,75326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28407.16,75327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28408.16,75328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28409.16,75329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28410.16,75330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28411.16,75331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28412.16,75332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28413.16,75333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28414.16,75334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28415.16,75335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28416.16,75336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28417.16,75337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28418.16,75338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28419.16,75339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28420.16,75340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28421.16,75341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28422.16,75342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28423.16,75343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28424.16,75344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28425.16,75345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28426.16,75346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28427.16,75347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28428.16,75348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28429.16,75349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28430.16,75350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28431.16,75351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28432.16,75352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28433.16,75353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28434.16,75354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28435.16,75355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28436.16,75356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28437.16,75357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28438.16,75358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28439.16,75359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28440.16,75400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28441.16,75401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28442.16,75402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28443.16,75403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28444.16,75404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28445.16,75405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28446.16,75406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
